  247.0000000000 -145.0000000000   65.0000000000
  272.0000000000 -145.0000000000   65.0000000000
  272.0000000000 -145.0000000000   55.0000000000
  247.0000000000 -145.0000000000   55.0000000000

  247.0000000000 -145.0000000000   65.0000000000
  259.5000000000 -123.3493649054   65.0000000000
  259.5000000000 -123.3493649054   55.0000000000
  247.0000000000 -145.0000000000   55.0000000000

  247.0000000000 -145.0000000000   65.0000000000
  234.5000000000 -123.3493649054   65.0000000000
  234.5000000000 -123.3493649054   55.0000000000
  247.0000000000 -145.0000000000   55.0000000000

  247.0000000000 -145.0000000000   65.0000000000
  222.0000000000 -145.0000000000   65.0000000000
  222.0000000000 -145.0000000000   55.0000000000
  247.0000000000 -145.0000000000   55.0000000000

  247.0000000000 -145.0000000000   65.0000000000
  234.5000000000 -166.6506350946   65.0000000000
  234.5000000000 -166.6506350946   55.0000000000
  247.0000000000 -145.0000000000   55.0000000000

  247.0000000000 -145.0000000000   65.0000000000
  259.5000000000 -166.6506350946   65.0000000000
  259.5000000000 -166.6506350946   55.0000000000
  247.0000000000 -145.0000000000   55.0000000000

  247.0000000000 -145.0000000000   65.0000000000
  272.0000000000 -145.0000000000   65.0000000000
  272.0000000000 -145.0000000000   55.0000000000
  247.0000000000 -145.0000000000   55.0000000000

